Model,A,B,Retain,Seed
init,0.91107577085495,0.9190933108329773,0.017381584271788597,4
base,0.32962766289711,0.33307304978370667,0.001498691737651825,4
base-lu-partial,0.3354595899581909,0.8910382986068726,0.0285577941685915,4
base-lu,0.34179720282554626,0.33687925338745117,0.01360214501619339,4
base-qk-ov-ue-000,0.3301745355129242,0.33364513516426086,0.0013332869857549667,4
base-qk-ov-ue-000-A,0.9091493487358093,0.8210136294364929,0.10802806913852692,4
base-qk-ov-ue-000-B,0.8488363027572632,0.9001792669296265,0.06332482397556305,4
base-qk-ov-ue-001,0.3764376640319824,0.40818995237350464,0.013989690691232681,4
base-qk-ov-ue-001-A,0.910169243812561,0.8632088303565979,0.04224337264895439,4
base-qk-ov-ue-001-B,0.8237670063972473,0.8930895328521729,0.04155156761407852,4
base-qk-ov-ue-010,0.29688605666160583,0.2962161898612976,0.015337532386183739,4
base-qk-ov-ue-010-A,0.9062439799308777,0.7665398120880127,0.04070272669196129,4
base-qk-ov-ue-010-B,0.7798283696174622,0.9043883085250854,0.08138653635978699,4
base-qk-ov-ue-011,0.33367082476615906,0.34241026639938354,0.01366463117301464,4
base-qk-ov-ue-011-A,0.8939816355705261,0.7603731155395508,0.05136466771364212,4
base-qk-ov-ue-011-B,0.751329779624939,0.8880555033683777,0.07633934915065765,4
base-qk-ov-ue-100,0.32707977294921875,0.3367532789707184,0.0018859244883060455,4
base-qk-ov-ue-100-A,0.9167552590370178,0.757980227470398,0.03771020472049713,4
base-qk-ov-ue-100-B,0.7522153258323669,0.919403076171875,0.09740892052650452,4
base-qk-ov-ue-101,0.3741312623023987,0.4112238883972168,0.013671448454260826,4
base-qk-ov-ue-101-A,0.9110082983970642,0.7763975858688354,0.06199786812067032,4
base-qk-ov-ue-101-B,0.6973230242729187,0.9012067914009094,0.03955429047346115,4
base-qk-ov-ue-110,0.29739615321159363,0.29779085516929626,0.015724128112196922,4
base-qk-ov-ue-110-A,0.8983813524246216,0.6679407358169556,0.029873110353946686,4
base-qk-ov-ue-110-B,0.5796311497688293,0.885272741317749,0.027933277189731598,4
base-qk-ov-ue-111,0.3415088355541229,0.3367560803890228,0.013599317520856857,4
base-qk-ov-ue-111-A,0.8883329629898071,0.6495451927185059,0.04407821595668793,4
base-qk-ov-ue-111-B,0.6155930757522583,0.9077010750770569,0.04011651128530502,4
